
In [3]: s.strip_dirs().sort_stats("time").print_stats()                                                                                                                                                     
Wed Dec 26 21:55:21 2018    Profile.prof

         181559334 function calls (177492916 primitive calls) in 5626.720 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       89 1804.680   20.277 1804.680   20.277 {built-in method scipy.signal.sigtools._medfilt2d}
      268 1037.329    3.871 1037.329    3.871 {built-in method scipy.ndimage._nd_image.geometric_transform}
      467    0.048    0.000    0.604    0.001 <frozen importlib._bootstrap_external>:914(get_data)
     3484    0.048    0.000    1.077    0.000 representation.py:142(__init__)
    14472    0.048    0.000    5.682    0.000 core.py:1440(__eq__)
      804    0.048    0.000    0.610    0.001 utils.py:45(_wcs_to_celestial_frame_builtin)
    50122    0.047    0.000    6.244    0.000 frameattributes.py:38(convert_input)
    43953    0.047    0.000    0.235    0.000 locale.py:571(getlocale)
13816/12800    0.047    0.000    2.184    0.000 hdulist.py:251(__getitem__)
    26620    0.047    0.000    0.150    0.000 core.py:871(_get_converter)
    43953    0.047    0.000    0.282    0.000 _strptime.py:26(_getlang)
      268    0.047    0.000    2.235    0.008 compressed.py:1464(header)
    37790    0.046    0.000    0.115    0.000 utils.py:191(validate_power)
    15544    0.046    0.000    0.133    0.000 core.py:1721(_make_array)
    35137    0.046    0.000    0.126    0.000 card.py:1220(_format_float)
     1427    0.046    0.000    0.135    0.000 inspect.py:2110(_signature_from_function)
    13947    0.045    0.000    0.698    0.000 header.py:152(__setitem__)
    31088    0.045    0.000    0.052    0.000 formats.py:568(<genexpr>)
     4455    0.045    0.000    0.072    0.000 posixpath.py:75(join)
     6164    0.045    0.000    0.326    0.000 angles.py:517(_validate_angles)
   100768    0.045    0.000    0.045    0.000 formats.py:140(scale)
     2032    0.045    0.000    8.013    0.004 base.py:375(_readfrom_internal)
    93820    0.044    0.000    0.207    0.000 baseframe.py:689(<genexpr>)
     2680    0.044    0.000    6.044    0.002 sky_coordinate.py:348(_parse_inputs)
    39104    0.043    0.000    0.124    0.000 compressed.py:299(_is_reserved_keyword)
    43953    0.043    0.000    0.137    0.000 locale.py:467(_parse_localename)
    13668    0.043    0.000    0.059    0.000 core.py:1743(__init__)
     2032    0.042    0.000    4.730    0.002 header.py:452(_from_blocks)
    39664    0.042    0.000    0.042    0.000 core.py:220(equivalencies)
    80676    0.042    0.000    0.042    0.000 {method 'rpartition' of 'str' objects}
   230997    0.042    0.000    0.042    0.000 {built-in method builtins.id}
     4406    0.042    0.000    0.588    0.000 header.py:1353(insert)
      268    0.041    0.000    0.939    0.004 map_factory.py:135(_parse_args)
     1016    0.040    0.000   15.275    0.015 file.py:246(readarray)
   102240    0.039    0.000    0.387    0.000 card.py:203(__str__)
    13940    0.038    0.000   11.749    0.001 frameattributes.py:132(__get__)
    42876    0.038    0.000    0.065    0.000 __init__.py:30(get_format)
     8108    0.038    0.000    0.038    0.000 {method 'seek' of '_io.FileIO' objects}
     9648    0.038    0.000    0.549    0.000 quantity_helper.py:499(converters_and_unit)
      536    0.037    0.000    0.053    0.000 index_tricks.py:162(__getitem__)
    12592    0.037    0.000    0.037    0.000 {method 'tell' of '_io.FileIO' objects}
1107/1105    0.037    0.000    0.126    0.000 {built-in method builtins.__build_class__}
37038/37029    0.037    0.000    0.104    0.000 {built-in method builtins.all}
    28016    0.036    0.000    1.208    0.000 header.py:815(get)
    24688    0.036    0.000    0.036    0.000 {method 'sub' of 're.Pattern' objects}
    15544    0.036    0.000    5.770    0.000 core.py:254(__init__)
20369/18671    0.036    0.000    0.039    0.000 records.py:438(__getattribute__)
9648/1608    0.035    0.000    0.627    0.000 copy.py:236(_deepcopy_dict)
     2948    0.035    0.000    0.292    0.000 time.py:136(parse_time)
     6164    0.035    0.000    1.118    0.000 angles.py:614(__new__)
     2948    0.034    0.000    0.088    0.000 time.py:69(_regex_parse_time)
     9916    0.034    0.000    1.310    0.000 angles.py:655(wrap_angle)
     3752    0.034    0.000    0.034    0.000 utils.py:96(two_sum)
    11399    0.033    0.000    0.057    0.000 inspect.py:2460(__init__)
    17956    0.033    0.000    0.079    0.000 representation.py:276(shape)
    34515    0.033    0.000    0.033    0.000 {built-in method builtins.sorted}
     1608    0.033    0.000    0.963    0.001 wcs.py:520(__deepcopy__)
    79324    0.033    0.000    0.033    0.000 core.py:279(get_current_unit_registry)
   114233    0.033    0.000    0.046    0.000 {method 'add' of 'set' objects}
      728    0.033    0.000  435.286    0.598 hdulist.py:823(writeto)
